id,brand,car_model,type,desc,problem,datetime,status
573895,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油要求解决,"A63,",2021-02-23,厂家受理
573885,北京越野,北京BJ40,2019款 改款 2.0T 自动 四驱 城市猎人版 尊享型 国V,北京BJ40发动机渗油要求厂家解决,"A12,",2021-02-23,信息审核
573884,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.8T 双离合 风尚型,一汽大众奥迪A3变速箱机电单元出现故障,"B84,",2021-02-23,信息审核
573883,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯发白影响夜间驾驶,"H82,",2021-02-23,信息审核
573879,长城汽车,哈弗H7,2017款 2.0T 豪华型 红标 H7L,哈弗H7变速器异响严重经销商不解决,"B33,",2021-02-23,厂家受理
573878,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 车身抖动明显,"A24,A63,",2021-02-23,处理反馈
573876,沃尔沃亚太,沃尔沃S90,2019款 T5 智逸版,亚太沃尔沃S90行驶及怠速时低频噪音大共振,"H268,",2021-02-23,信息审核
573875,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯发白不亮影响驾驶安全,"H82,",2021-02-23,处理反馈
573874,广汽本田,飞度,2014款 1.5 CVT EX精英型,广汽本田飞度启动困难要求更换起动机,"A44,",2021-02-23,处理反馈
573873,吉利汽车,缤越,2019款 260T DCT 游侠 国VI 运动款,吉利缤越发动机故障报警 服务态度差,"A34,I293,",2021-02-23,处理反馈
573872,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑新车有补漆痕迹,"M284,",2021-02-23,信息审核
573868,腾势汽车,腾势X,2020款 PHEV 旗舰版,滕势X高速时变速箱无法加速存在质量您问题,"B334,",2021-02-23,信息审核
573867,上汽通用五菱,宝骏360,2018款 1.5L 手动 豪华型 国V,宝骏360轮眉车门排水孔和发动机舱生锈,"H79,",2021-02-23,处理反馈
573866,BEIJING汽车,E系列,2013款 1.5L 手动 乐天版 三厢,BEIJING汽车E系列离合器支座固定点松动,"C166,",2021-02-23,信息审核
573864,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型 改款,长安福特翼虎中控模块故障希望尽快处理,"H104,",2021-02-23,处理反馈
573862,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408购买延保后车辆出现故障不保修,"I297,L314,",2021-02-23,处理反馈
573861,奇瑞汽车,瑞虎3,2015款 1.6L 手动 智尚周年运动版,奇瑞瑞虎3天窗支架断裂4S店不予保修,"H168,I297,",2021-02-23,处理反馈
573860,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 豪华型,一汽奔腾T77发动机熄火 方向盘抱死,"A14,D123,H110,",2021-02-23,处理反馈
573859,一汽-大众,宝来,2015款 1.6L 手动 时尚型 质惠版,一汽大众宝来车内异味严重影响人员健康,"H185,",2021-02-23,处理反馈
573858,江铃汽车,特顺,2019款 2.8T 商运型 长轴 中顶 6座 后单胎 国VI JX493,江铃特顺行驶时跑偏刹车偏软排气管冒白烟,"A114,E269,G117,",2021-02-23,信息审核
573857,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L变速箱顿挫异响 发动机异响,"A9,B33,B19,",2021-02-23,处理反馈
573855,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电控制单元故障,"B84,",2021-02-23,处理反馈
573854,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L空调不制冷 车窗控制器故障,"H101,H72,H67,",2021-02-23,信息审核
573851,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器频繁堵塞导致油耗高,"A85,A114,",2021-02-23,处理反馈
573847,东风日产,启辰星,2020款 260T 自动 48V轻混增压 星曜版,东风启辰星新车变速箱故障要求赔偿折旧费,"B96,",2021-02-23,信息审核
573845,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱故障无法加速,"B96,B334,",2021-02-23,信息审核
573843,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油希望厂家召回,"A63,",2021-02-23,处理反馈
573838,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动发动机烧机油 变速箱降挡异响,"A63,B33,",2021-02-23,信息审核
573837,上汽大通,上汽大通MAXUS G10,2019款 改款 PLUS 2.0T 手动 智享版 国V,上汽大通MAXUS G10维修使用非原厂件,"H79,J299,N319,N321,",2021-02-23,信息审核
573836,长城汽车,坦克300,2021款 越野版 2.0T 征服者,长城坦克300经销商欺骗消费者无现车,"L313,",2021-02-23,信息审核
573829,雷克萨斯,雷克萨斯UX新能源,2020款 300e 纯·享版,雷克萨斯UX新能源电池容量设计缺陷,"Q322,",2021-02-23,信息审核
573827,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞前半轴防尘套漏油,"G51,",2021-02-23,信息审核
573824,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳换挡顿挫 发动机异响,"A9,B19,",2021-02-23,处理反馈
573821,上汽集团,荣威Ei5,2019款 智联旗舰版,上汽荣威Ei5电池组故障 续航严重降低,"H344,",2021-02-23,信息审核
573820,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾空调异响 车机死机 后视镜异响,"H134,H101,H211,",2021-02-23,处理反馈
573814,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲享版,东风雪铁龙C4L发动机抖动故障灯亮,"A24,A34,",2021-02-23,处理反馈
573811,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机气门损坏要求解决,"A45,A251,",2021-02-23,处理反馈
573810,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞导致油耗高,"A85,A114,H263,",2021-02-23,处理反馈
573809,广汽讴歌,讴歌TLX-L,2018款 2.4L 悦享版,广汽讴歌TLX-L变速箱挂D挡抖动异响,"A9,A24,I295,",2021-02-23,用户评分
573797,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾启动时发动机频繁异响,"A9,",2021-02-23,信息审核
573796,捷豹,捷豹XF,2015款 2.0T 80周年典藏豪华版,捷豹XF轮毂自动裂开 4S店不给更换,"H243,",2021-02-23,处理反馈
573794,大乘汽车,大乘G70S,2019款 2.0T 自动 尊贵型,大乘G70S没有4S店免费保养无法兑现,"O326,",2021-02-23,信息审核
573793,江淮汽车,瑞风M5,2019款 2.0T 双离合 公务版 汽油,江淮瑞风M5配件不全一直未到货影响维修,"N318,",2021-02-23,处理反馈
573792,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁4S店维修后中控仪表台异响,"H72,H93,J300,J299,",2021-02-23,处理反馈
573791,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机有严重烧机油的现象,"A63,",2021-02-23,处理反馈
573790,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越汽油泵故障发动机怠速不稳熄火,"A34,A44,A14,A35,H78,",2021-02-23,信息审核
573789,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞球笼套漏油扩大维修,"J300,J306,",2021-02-23,信息审核
573788,猎豹汽车,猎豹CS10,2016款 2.0T 自动 领先型,猎豹CS10出现助力转向油管漏油现象,"D58,",2021-02-23,信息审核
573787,江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,江铃驭胜S350变速箱换挡时出现异响,"B33,",2021-02-23,信息审核
573786,东风雪铁龙,世嘉,2010款 1.6 自动 尚乐版,东风雪铁龙世嘉变速箱故障灯亮存在质量问题,"B96,",2021-02-23,用户评分
573784,郑州日产,途达,2020款 2.5L XL Upper 4WD 自动 四驱 豪华版,郑州日产途达刹车踏板出现异响,"E43,",2021-02-23,信息审核
573783,北京奔驰,奔驰E级,2017款 E 300 L 豪华型,北京奔驰E级轮毂开裂要求厂家解决,"H243,",2021-02-23,信息审核
573782,东风标致,标致408,2013款 2.0 手动 舒适版,东风标致408车内刺异味 刹车异响,"E43,H185,",2021-02-23,处理反馈
573781,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾4S店维修质量差 承诺未兑现,"J303,L314,",2021-02-23,处理反馈
573780,领克,领克01,2019款 2.0T 两驱 型Pro版 国V,领克01经销商保养时将车辆卡扣拆坏,"J300,",2021-02-23,处理反馈
573777,北京奔驰,奔驰GLA,2018款 200 动感型,北京奔驰GLA座椅多处脱皮希望厂家处理,"H169,",2021-02-23,信息审核
573774,东风风行,景逸X3,2015款 1.5L 豪华型,东风风行景逸X3减震器胶套脱落底盘异响,"G56,H168,",2021-02-23,处理反馈
573771,长安林肯,冒险家,2021款 2.0T 两驱 尊雅版,长安林肯冒险家发动机怠速运转时抖动,"A24,",2021-02-23,信息审核
573766,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯频繁报警,"A34,",2021-02-23,厂家受理
573763,郑州日产,锐骐6,2019款 2.5T 手动 两驱 标准型 柴油 ZD25T5,郑州日产锐骐6行驶时发动机拉瓦,"A328,",2021-02-23,信息审核
573762,东风日产,奇骏,2016款 2.0L CVT 智享版 4WD,东风日产奇骏变速箱电磁阀出现问题,"B19,B334,B84,",2021-02-23,信息审核
573759,一汽-大众奥迪,奥迪A6L新能源,2020款 55 TFSI e quattro,奥迪A6L新能源行驶时动力消失刹车失灵,"A255,E29,",2021-02-23,信息审核
573758,东风悦达起亚,凯绅,2019款 1.8L 自动 GLS,东风悦达起亚凯绅自动启停按键出现故障,"H263,",2021-02-23,信息审核
